,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Region,Region1,Region2,Final Region,p1_z,p2_z,p3_z,rating
1201,MJ Guptill ,83,1,1,0,11,0,0,0,11,0,0,0,,NZ,,NZ,10.0,0.0,0.0,10.0
1197,AJ Finch ,58,2,2,0,27,0,0,0,13,0,0,0,,AUS,,AUS,8.21507760532151,0.0,0.0,8.21507760532151
1,Shahid Afridi ,99,97,361,4,2396,98,4,24,6,22,3,0,,ICC,PAK,PAK,0.2318273617015269,10.0,0.0,7.7318273617015265
0,SL Malinga ,79,79,284,1,2061,106,5,19,7,16,1,2,,SL,,SL,0.28206399456491443,9.833024118738404,0.0035955599292985326,7.658629863583366
2,Shakib Al Hasan ,76,75,277,2,1894,92,5,20,6,18,3,1,,BDESH,,BDESH,0.2192579829677857,9.601113172541744,0.011437072751924208,7.4258113987500565
1149,Ahmed Shehzad ,59,1,1,0,10,0,0,0,10,0,0,0,,PAK,,PAK,6.430155210643016,0.0,0.0,6.430155210643016
7,TG Southee ,66,64,233,2,1954,75,5,26,8,18,0,1,,NZ,,NZ,0.18642224638806895,7.826994434137292,0.008210412992469324,6.060773278487273
8,Mohammad Nabi ,75,75,256,5,1839,69,4,26,7,22,3,0,,AFG,,AFG,0.18570523774811484,7.040816326530614,0.030197070441433712,5.481416017866792
4,Umar Gul ,60,60,200,2,1443,85,5,16,7,14,4,2,,PAK,,PAK,0.2588285762707078,6.89935064935065,0.020576330990687328,5.4436297287790385
1321,GC Smith ,33,3,4,0,57,0,0,0,14,0,0,0,,SA,,SA,4.966740576496675,0.0,0.0,4.966740576496675
3,Saeed Ajmal ,64,63,238,2,1516,85,4,17,6,16,4,0,,PAK,,PAK,0.22138887896593812,6.307977736549166,0.02152146346131064,4.963132913108468
1220,DPMD Jayawardene ,55,1,1,0,8,0,0,0,8,0,0,0,,SL,,SL,4.789356984478937,0.0,0.0,4.789356984478937
10,BAW Mendis ,39,39,147,5,952,66,6,14,6,13,3,2,,SL,,SL,0.16560106042784298,5.969387755102043,0.08683583013466915,4.68605979182171
6,GH Dockrell ,73,69,221,1,1539,75,4,20,6,17,1,0,,IRE,,IRE,0.21048766364907429,5.913729128014844,0.009585523853418338,4.650577271586917
5,Rashid Khan ,45,45,171,1,1052,84,5,12,6,12,3,2,,AFG,ICC,AFG,0.22681373310548394,5.844155844155846,0.01701613865676741,4.618438685550752
26,YS Chahal ,36,36,140,1,1139,52,6,21,8,16,2,1,,INDIA,,INDIA,0.1289891300765932,5.788497217068649,0.012034303659462448,4.47637919470781
1194,Fakhar Zaman ,34,1,1,0,12,0,0,0,12,0,0,0,,PAK,,PAK,4.390243902439026,0.0,0.0,4.390243902439026
9,KMDN Kulasekara ,58,58,205,6,1530,66,4,23,7,18,2,0,,SL,,SL,0.16537605898704422,5.510204081632653,0.05422667167500422,4.3251424560490355
11,SCJ Broad ,56,55,195,2,1491,65,4,22,7,18,1,0,,ENG,,ENG,0.168062479698335,5.426716141001857,0.018438131977282713,4.247318651438369
17,S Badree ,52,52,191,4,1180,56,4,21,6,20,1,0,,WI,World,WI,0.140966692155134,5.1948051948051965,0.061323410861474074,4.067732293689769
47,Mashrafe Mortaza ,54,53,189,1,1527,42,4,36,8,27,1,0,,BDESH,,BDESH,0.10146517215027401,5.259740259740261,0.00837768293865769,4.050459208424798
48,B Kumar ,43,43,154,2,1088,41,5,26,7,22,0,1,,INDIA,,INDIA,0.10540027007325438,5.229591836734695,0.028841041643064818,4.042014668445808
43,DJG Sammy ,68,59,152,0,1116,44,5,25,7,20,1,1,,WI,World,WI,0.17618879489316025,5.102040816326532,0.0,4.002719407138059
19,Mohammad Hafeez ,89,67,186,2,1226,54,4,22,6,20,1,0,,PAK,,PAK,0.23048568644343084,5.009276437847868,0.027651564475405933,4.001268797067034
15,NL McCullum ,63,59,187,0,1278,58,4,22,6,19,2,0,,NZ,,NZ,0.16238764272150813,5.1113172541743985,0.0,3.9958755833523067
1312,V Sehwag ,19,1,1,0,20,0,0,0,20,0,0,0,,INDIA,,INDIA,3.991130820399113,0.0,0.0,3.991130820399113
46,Imad Wasim ,41,40,147,3,877,42,5,20,5,21,1,1,,PAK,,PAK,0.09744799243012699,5.113636363636365,0.059494681848432394,3.962422606081617
28,SP Narine ,51,49,183,1,1105,52,4,21,6,21,1,0,,WI,,WI,0.1382026393677784,5.064935064935067,0.016653151402235687,3.9452305137701975
25,DJ Bravo ,66,56,173,0,1470,52,4,28,8,20,2,0,,WI,,WI,0.170483547833245,4.82374768089054,0.0,3.7882943085011505
12,Imran Tahir ,38,38,140,0,948,63,5,15,6,13,2,2,,SA,World,SA,0.14944850085443528,4.7483766233766245,0.0,3.7107309683869034
23,PM Seelaar ,69,58,172,3,1190,53,4,22,6,19,1,0,,NL,,NL,0.17810257588810566,4.670686456400745,0.040731595718232656,3.7014832160477806
14,Mohammad Amir ,48,48,175,5,1224,59,4,20,6,17,1,0,,PAK,,PAK,0.13740166932647904,4.65213358070501,0.06525828005914185,3.6591309948848076
24,R Ashwin ,46,46,171,2,1193,52,4,22,6,19,2,0,,INDIA,,INDIA,0.11786199874948167,4.582560296846014,0.02686164877198301,3.568213045769984
27,Mustafizur Rahman ,37,37,135,3,1065,52,5,20,7,15,1,1,,BDESH,,BDESH,0.12278447046196003,4.52226345083488,0.03942437774818307,3.534194247462212
35,M Morkel ,44,44,158,3,1191,47,4,25,7,20,2,0,,SA,World,SA,0.11307639075232674,4.359925788497218,0.037353818443600036,3.401697641347041
13,DW Steyn ,44,44,157,3,1068,61,4,17,6,15,2,0,,SA,,SA,0.1511066951672276,4.2439703153988875,0.04561725055926124,3.3568930569960242
16,KJ O'Brien ,90,51,150,0,1134,58,4,19,7,15,1,0,,IRE,,IRE,0.3218422502086844,4.035250463821894,0.0,3.3482800980751053
34,SR Watson ,58,49,155,2,1187,48,4,24,7,19,1,0,,AUS,,AUS,0.1573114240117504,4.230055658627089,0.024593404461578497,3.3421498702128565
40,MRJ Watt ,35,33,125,2,903,45,5,20,7,16,0,1,,SCOT,,SCOT,0.11596311099185114,4.17439703153989,0.0321953716348946,3.2628585704642155
20,Sohail Tanvir ,57,57,202,3,1454,54,3,26,7,22,0,0,,PAK,,PAK,0.14053369343100583,4.132653061224492,0.030580212355565684,3.2553135955271575
21,RE van der Merwe ,43,42,149,1,938,54,4,17,6,16,1,0,,NL,SA,NL,0.14759258597729208,4.007421150278294,0.018039410048630956,3.162178153710328
18,CJ Jordan ,43,43,151,0,1300,54,4,24,8,16,2,0,,ENG,,ENG,0.13247277811515829,4.007421150278294,0.0,3.1380386408238787
33,SM Sharif ,42,41,143,0,1185,49,4,24,8,17,1,0,,SCOT,,SCOT,0.12931866435051165,3.8636363636363646,0.0,3.0270459370777845
37,PA van Meekeren ,41,39,136,2,945,47,4,20,6,17,2,0,,NL,,NL,0.11693759091615238,3.7059369202226353,0.03253013641122749,2.912655349288743
30,NLTC Perera ,79,64,175,1,1628,51,3,31,9,20,0,0,World,ICC,SL,SL,0.20308270960999386,3.548237476808907,0.006430226111371064,2.8674759302723594
38,Shadab Khan ,38,36,135,1,948,46,4,20,6,17,1,0,,PAK,,PAK,0.10816727159744094,3.6270871985157713,0.016061103083620732,2.83651322202608
108,Samiullah Shinwari ,62,38,105,0,688,28,5,24,6,22,1,1,,AFG,,AFG,0.1443007047325831,3.5714285714285716,0.0,2.8228721333040117
22,WB Rankin ,48,47,170,2,1138,53,3,21,6,19,0,0,,ENG,IRE,ENG,0.1299104810057117,3.5030148423005594,0.0292751192340474,2.7718091723481555
1346,MN Waller ,32,3,5,0,42,0,0,0,8,0,0,0,,ZIM,,ZIM,2.749445676274945,0.0,0.0,2.749445676274945
61,DL Vettori ,34,34,131,1,748,38,4,19,5,20,1,0,,NZ,,NZ,0.08523911923665,3.525046382189241,0.022480619846402303,2.7402642158017816
32,MJ Santner ,39,38,128,1,928,49,4,18,7,15,1,0,,NZ,,NZ,0.1460935281037815,3.40909090909091,0.015771370181102643,2.7107973950125155
49,WD Parnell ,40,39,124,3,1038,41,4,25,8,18,1,0,,SA,,SA,0.11720875054726224,3.423005565862709,0.0379076387098931,2.7034167442992403
64,AD Mathews ,72,57,161,4,1101,37,3,29,6,26,0,0,,SL,,SL,0.13381201839093465,3.346474953617812,0.05899968504689082,2.67316807612774
1147,Aftab Ahmed ,11,1,0,0,8,0,0,0,24,0,0,0,,BDESH,,BDESH,2.6607538802660757,0.0,0.0,2.6607538802660757
42,Ahsan Malik ,31,29,95,1,730,44,5,16,7,13,1,1,,NL,,NL,0.13160775064612262,3.316326530612246,0.01688717946286263,2.627296238336738
52,Dawlat Zadran ,34,34,123,2,980,40,4,24,7,18,1,0,,AFG,,AFG,0.09107503495417132,3.339517625231912,0.0276855822336963,2.609556044994953
41,Abdur Razzak ,34,33,121,4,838,44,4,19,6,16,1,0,,BDESH,,BDESH,0.10228694308397998,3.2653061224489806,0.07008904989028668,2.586311059865859
29,JJ Bumrah ,42,42,153,5,1029,51,3,20,6,18,0,0,,INDIA,,INDIA,0.11986103068905621,3.193413729128016,0.07915820753469807,2.554500431302417
44,Mudassar Bukhari ,38,35,117,4,780,43,4,18,6,16,3,0,,NL,,NL,0.12192768134977253,3.191094619666049,0.07552208707430264,2.5530096896364602
55,JW Dernbach ,34,33,117,1,1020,39,4,26,8,18,1,0,,ENG,,ENG,0.09464514047394271,3.256029684601114,0.01229378179223568,2.542814294820896
1324,Sohaib Maqsood ,20,1,1,0,12,0,0,0,12,0,0,0,,PAK,,PAK,2.527716186252772,0.0,0.0,2.527716186252772
60,HH Pandya ,40,39,116,1,976,38,4,25,8,18,1,0,,INDIA,,INDIA,0.11720875054726224,3.1725417439703163,0.01314552369795846,2.503187820373979
72,RA Jadeja ,46,46,152,4,1093,35,3,31,7,26,0,0,,INDIA,,INDIA,0.0911268568762793,3.165584415584417,0.05645588366709853,2.493543110398141
67,AC Evans ,27,25,93,4,689,36,5,19,7,15,0,1,,SCOT,,SCOT,0.09402133152163816,3.130797773654917,0.07178581172511088,2.478012567625381
57,Rohan Mustafa ,38,36,113,2,774,39,4,19,6,17,1,0,,UAE,,UAE,0.1146853604274927,3.075139146567719,0.036889239739503796,2.4394843402230344
45,KD Mills ,42,42,149,1,1228,43,3,28,8,20,0,0,,NZ,,NZ,0.10753577632558532,2.991651205936922,0.011038552331022404,2.3567934569437883
39,Bilal Khan ,32,31,111,2,778,45,4,17,7,14,3,0,,OMAN,,OMAN,0.1270936157026682,2.922077922077923,0.035961125130367935,2.3366326198262946
68,JP Faulkner ,24,24,85,0,684,36,5,19,7,14,0,1,,AUS,,AUS,0.08317271634606452,2.9220779220779223,0.0,2.2747311579045064
75,N Vanua ,25,25,81,3,505,35,5,14,6,14,1,1,,PNG,,PNG,0.10459014342811136,2.8409090909090913,0.07087413978567216,2.2707090315027654
90,CB Mpofu ,30,30,107,0,950,31,4,30,8,20,1,0,,ZIM,,ZIM,0.06989892713055681,2.8756957328385906,0.0,2.2266707267595
70,AR Cusack ,37,33,101,3,714,35,4,20,7,17,3,0,,IRE,,IRE,0.12278447046196003,2.7597402597402603,0.05559705464766211,2.220388192590986
36,IS Sodhi ,40,39,138,0,1131,47,3,24,8,17,0,0,,NZ,,NZ,0.1230104368212184,2.779452690166977,0.0,2.207599954446451
127,Harbhajan Singh ,28,27,102,5,633,25,4,25,6,24,1,0,,INDIA,,INDIA,0.06085838970723231,2.782931354359927,0.11063693982880395,2.203375375391579
31,GP Swann ,39,38,135,4,859,51,3,16,6,15,0,0,,ENG,,ENG,0.14288841498721883,2.6611781076066796,0.07525854886084127,2.176401270122649
86,DT Johnston ,30,28,99,5,636,32,4,19,6,18,1,0,,IRE,,IRE,0.08988852574046725,2.671614100185529,0.10669452335128239,2.1469463625552554
56,AU Rashid ,40,38,133,1,1000,39,3,25,7,20,0,0,,ENG,,ENG,0.10255765672885445,2.7133580705009286,0.014461669619339984,2.144807044414221
54,TA Boult ,27,27,98,1,854,39,4,21,8,15,1,0,,NZ,,NZ,0.09582049662832637,2.713358070500928,0.013782688955391802,2.1377303939817183
1218,Jatinder Singh ,25,1,2,0,17,0,0,0,8,0,0,0,,OMAN,,OMAN,2.1286031042128606,0.0,0.0,2.1286031042128606
77,NM Coulter-Nile ,28,27,97,1,802,34,4,23,8,17,1,0,,AUS,,AUS,0.08952688907569313,2.680890538033396,0.015016442571447243,2.107703013886464
1150,DS Airee ,18,1,2,0,23,0,0,0,11,0,0,0,,NEPAL,,NEPAL,2.073170731707317,0.0,0.0,2.073170731707317
1208,MEK Hussey ,38,1,1,0,5,0,0,0,5,0,0,0,,AUS,,AUS,2.0509977827050996,0.0,0.0,2.0509977827050996
62,J Botha ,40,39,129,1,823,37,3,22,6,20,0,0,,SA,,SA,0.10214706558288413,2.574211502782932,0.019204365998349855,2.0424078756692583
73,SO Ngoche ,28,28,94,0,637,35,4,18,6,16,2,0,,KENYA,,KENYA,0.08897425395794212,2.597402597402598,0.0,2.0370262020098906
87,SC Williams ,38,37,123,0,890,32,3,27,7,23,0,0,,ZIM,,ZIM,0.08873625698233438,2.560296846011132,0.0,2.0089588914906833
89,Mahmudullah ,83,54,117,2,861,31,3,27,7,22,0,0,,BDESH,,BDESH,0.1966587316905789,2.3724489795918373,0.032493946587429955,1.9922424396781722
80,DJ Willey ,28,28,92,0,761,34,4,22,8,16,1,0,,ENG,,ENG,0.09428959899958536,2.523191094619666,0.0,1.986682919964335
124,P Utseya ,35,35,124,2,858,26,3,33,6,28,0,0,,ZIM,,ZIM,0.05456574016179702,2.5324675324675336,0.03462598247833212,1.971229380751613
139,Karim Janat ,21,21,73,0,614,24,5,25,8,18,0,1,,AFG,,AFG,0.06010705156269859,2.5046382189239336,0.0,1.9385857157556488
53,T van der Gugten ,39,38,118,0,847,40,3,21,7,17,0,0,,NL,,NL,0.12253967357276353,2.365491651205938,0.0,1.8966584119772172
66,AJ Tye ,26,25,91,1,815,37,4,22,8,14,1,0,,AUS,,AUS,0.08730518425887532,2.4025974025974026,0.013749820543880284,1.8961281464788677
65,Mohammad Naveed ,31,31,114,5,729,37,3,19,6,18,0,0,,UAE,,UAE,0.09298813007634543,2.3167903525046385,0.10152296750874386,1.881342378209196
88,CR Brathwaite ,41,39,118,1,1013,31,3,32,8,22,0,0,,WI,,WI,0.088974253957942,2.3724489795918373,0.012548046474629895,1.8745850118891352
63,Kuldeep Yadav ,19,19,71,1,499,37,5,13,6,11,1,1,,INDIA,,INDIA,0.08506329774001052,2.3596938775510203,0.02102357218929717,1.8653454919979242
50,KOK Williams ,24,24,86,2,724,41,4,17,8,12,1,0,,WI,,WI,0.10776601515802278,2.28200371057514,0.03093908960746111,1.8347383428931083
182,SJ Benn ,24,24,84,3,606,18,4,33,7,28,1,0,,WI,,WI,0.04306413806886921,2.337662337662338,0.05797787907074248,1.825299830850994
82,Karan KC ,25,25,82,0,631,33,4,19,7,15,2,0,,NEPAL,,NEPAL,0.08678892140458908,2.295918367346939,0.0,1.8087276969147932
59,MG Johnson ,30,30,109,2,797,38,3,20,7,17,0,0,,AUS,,AUS,0.09890971231657891,2.247217068645641,0.03406653891415062,1.8013557832578853
1331,T Taibu ,17,2,4,0,41,0,0,0,10,0,0,0,,ZIM,,ZIM,1.7738359201773837,0.0,0.0,1.7738359201773837
78,CH Morris ,23,23,83,3,697,34,4,20,8,14,1,0,,SA,,SA,0.08575423333851176,2.2077922077922083,0.04727606535504496,1.7652364218601906
135,TT Bresnan ,34,34,110,1,887,24,3,36,8,27,0,0,,ENG,,ENG,0.06317642794262344,2.254174397031541,0.014576044368257544,1.7610952479004078
74,Shapoor Zadran ,34,34,107,3,843,35,3,24,7,18,0,0,,AFG,,AFG,0.09107503495417132,2.191558441558442,0.046060674142414625,1.7577742031942103
129,Nadeem Ahmed ,24,24,82,3,546,25,4,21,6,19,1,0,,HKG,,HKG,0.06357321410917806,2.203153988868275,0.06492254996493162,1.74839998074285
121,JA Morkel ,50,46,107,2,864,26,3,33,8,24,0,0,,SA,,SA,0.10485181442855115,2.170686456400743,0.02955562670356501,1.7476444700808909
144,D Wiese ,20,20,65,0,497,24,5,20,7,16,0,1,,SA,,SA,0.06480291496603445,2.226345083487941,0.0,1.7345617275819902
141,KMA Paul ,18,18,65,0,540,24,5,22,8,16,0,1,,WI,,WI,0.05936752529603523,2.226345083487941,0.0,1.7291263379119908
58,MA Starc ,28,28,106,1,718,39,3,18,6,16,0,0,,AUS,,AUS,0.08897425395794212,2.170686456400743,0.01929544300456979,1.7266368177607845
133,SMSM Senanayake ,24,23,81,0,549,25,4,21,6,19,1,0,,SL,,SL,0.06357321410917806,2.203153988868275,0.0,1.7159387057603845
95,Khawar Ali ,29,27,82,0,534,29,4,18,6,16,1,0,,OMAN,,OMAN,0.09226959669712516,2.1521335807050095,0.0,1.7063697822258823
194,SR Thompson ,41,30,79,0,670,18,4,37,8,26,1,0,,IRE,,IRE,0.07389710667635174,2.170686456400743,0.0,1.701911948976909
94,Amir Hamza ,31,31,106,2,716,29,3,24,6,21,0,0,,AFG,,AFG,0.07096755970454906,2.1185064935064943,0.03874480654981965,1.6792198331093293
149,CA Young ,26,25,77,1,635,23,4,27,8,20,1,0,,IRE,,IRE,0.06852220616396479,2.1335807050092765,0.016632507667767908,1.6770239887548062
91,SS Cottrell ,22,22,76,2,615,30,4,20,8,15,1,0,,WI,,WI,0.08185631364130669,2.087198515769945,0.03428575900221938,1.664398079969875
93,Wahab Riaz ,31,30,101,2,813,30,3,27,8,20,0,0,,PAK,,PAK,0.08222664739675775,2.0871985157699453,0.03063536896233619,1.662943218705385
71,Hasan Ali ,30,30,103,3,877,35,3,25,8,17,0,0,,PAK,,PAK,0.08715522476591298,2.0698051948051956,0.041686749866588685,1.660352495803104
85,Hamid Hassan ,22,22,79,2,523,32,4,16,6,14,1,0,,AFG,,AFG,0.07896465038767357,2.077922077922078,0.04407319672192678,1.6594428071901954
92,MJ McClenaghan ,29,29,101,2,789,30,3,26,7,20,0,0,,ICC,NZ,NZ,0.07026684671550293,2.0871985157699453,0.0320458370110922,1.6516886520485081
188,HMRKB Herath ,17,17,60,3,373,18,5,20,6,20,0,1,,SL,,SL,0.04677503636646096,2.0871985157699444,0.0760397941586061,1.6501938202732223
83,JE Taylor ,30,30,100,2,863,33,3,26,8,18,0,0,,WI,,WI,0.08317300223467694,2.0663265306122454,0.027672139049088534,1.646753969718405
105,KA Pollard ,68,44,97,0,830,28,3,29,8,20,0,0,,WI,,WI,0.16836441750596476,1.9480519480519485,0.0,1.629403378544926
76,Aizaz Khan ,30,30,99,2,692,34,3,20,6,17,0,0,,HKG,,HKG,0.08477975341421048,2.010667903525047,0.037976073802816125,1.611768717959404
79,A Nehra ,27,27,98,2,758,34,3,22,7,17,0,0,,INDIA,,INDIA,0.07944771767557654,2.010667903525047,0.03298998663735259,1.6039436386380381
1224,Kamran Khan ,14,2,4,0,48,0,0,0,11,0,0,0,,QAT,,QAT,1.5853658536585367,0.0,0.0,1.5853658536585367
120,GJ Maxwell ,61,40,94,0,704,26,3,27,7,21,0,0,,AUS,,AUS,0.14389663294432603,1.8993506493506502,0.0,1.5684096199573139
69,AG Cremer ,29,28,95,1,660,35,3,18,6,16,0,0,,ZIM,,ZIM,0.09226959669712516,1.9480519480519485,0.01946304411737169,1.5630400797947726
136,JH Davey ,21,20,74,0,610,24,4,25,8,18,1,0,,SCOT,,SCOT,0.06010705156269859,2.003710575139147,0.0,1.5628899829170586
128,AF Milne ,21,21,72,1,541,25,4,21,7,17,1,0,,NZ,,NZ,0.06449456503829659,1.9712430426716143,0.0192291692396053,1.55254143166181
107,Rubel Hossain ,27,26,94,0,879,28,3,31,9,20,0,0,,BDESH,,BDESH,0.06769423653666463,1.9480519480519485,0.0,1.528733197575626
222,NN Odhiambo ,24,21,56,1,468,16,5,29,8,21,0,1,,KENYA,,KENYA,0.0577967403378685,1.9480519480519485,0.017969276028088076,1.527820339390874
84,PJ Cummins ,25,25,95,3,644,32,3,20,6,17,0,0,,AUS,,AUS,0.07016255454969142,1.89239332096475,0.06039131286440153,1.519653201705455
96,AL Phehlukwayo ,23,22,69,0,550,29,4,18,7,14,1,0,,SA,,SA,0.0845804636390314,1.8831168831168839,0.0,1.4969181259766944
117,B Stanlake ,19,19,70,2,544,27,4,20,7,15,1,0,,AUS,,AUS,0.06139223523098001,1.8784786641929505,0.03712372054695387,1.4888130936491697
112,A Zampa ,27,26,93,1,572,28,3,20,6,19,0,0,,AUS,,AUS,0.07600943409549904,1.8506493506493515,0.02309899741402312,1.4755459457895244
51,Al-Amin Hossain ,28,26,91,0,673,40,3,16,7,13,0,0,,BDESH,,BDESH,0.11844697558151035,1.8089053803339525,0.0,1.4751260108319748
115,RD Berrington ,61,37,81,0,609,27,3,22,7,18,0,0,,SCOT,,SCOT,0.1833408869436382,1.6906307977736554,0.0,1.4513139852738797
102,B Lee ,25,25,90,0,714,28,3,25,7,19,0,0,,AUS,,AUS,0.06311240414083352,1.8506493506493515,0.0,1.451099417127847
177,JDP Oram ,36,32,91,0,793,19,3,41,8,28,0,0,,NZ,,NZ,0.056422697631865845,1.8506493506493513,0.0,1.4444097106188794
122,Sompal Kami ,28,28,90,1,644,26,3,24,7,20,0,0,,NEPAL,,NEPAL,0.07451593768977652,1.8089053803339525,0.019070940904547855,1.4407304433925148
152,Mohammad Nadeem ,22,22,68,0,445,22,4,20,6,18,1,0,,OMAN,,OMAN,0.06139223523098001,1.8367346938775517,0.0,1.4389432556391437
150,Aamir Kaleem ,25,20,54,0,388,22,5,17,7,14,2,1,,OMAN,,OMAN,0.09839505731819471,1.785714285714286,0.0,1.437680771603909
1341,S Vesawkar ,17,1,3,0,25,0,0,0,8,0,0,0,,NEPAL,,NEPAL,1.4190687361419074,0.0,0.0,1.4190687361419074
249,KH Pandya ,18,18,66,1,538,14,4,38,8,28,1,0,,INDIA,,INDIA,0.030327064005714513,1.8181818181818186,0.017753694647675098,1.4028402749659161
156,JP Duminy ,81,41,77,0,599,21,3,28,7,22,0,0,,SA,,SA,0.18359766689734075,1.6071428571428577,0.0,1.388954809754484
148,I Udana ,27,26,85,1,725,23,3,31,8,22,0,0,,SL,,SL,0.06017265469925745,1.7602040816326534,0.015259445256627407,1.3879554385520612
97,R Rampaul ,23,23,82,1,705,29,3,24,8,17,0,0,,WI,,WI,0.06939050282222575,1.7149814471243046,0.015319680906503763,1.363286428618706
153,MN Samuels ,67,30,79,0,622,22,3,28,7,21,0,0,,WI,,WI,0.15146807519030614,1.6071428571428579,0.0,1.3568252180474496
103,DP Nannes ,17,16,61,2,459,28,4,16,7,13,1,0,,AUS,NL,AUS,0.07019080034459874,1.6883116883116882,0.04010127142894893,1.3564752022928395
138,Haseeb Amjad ,18,18,61,3,453,24,4,18,7,15,1,0,,HKG,,HKG,0.065357630993797,1.6697588126159557,0.06113741398315192,1.34824544744734
101,S Lamichhane ,18,18,64,0,439,28,4,15,6,13,1,0,,ICC,NEPAL,NEPAL,0.06866552741960541,1.6883116883116882,0.0,1.3348992936533715
226,PR Stirling ,72,33,78,1,600,16,3,37,7,29,0,0,,IRE,,IRE,0.11477144380670877,1.6141001855287573,0.01818574349227328,1.3344394546994138
98,BD Glover ,19,19,65,0,448,28,4,16,6,13,2,0,,NL,,NL,0.06768398604657734,1.6883116883116882,0.0,1.3339177522803434
1179,J Butler ,9,1,1,0,15,0,0,0,15,0,0,0,,GUE,,GUE,1.3303769401330379,0.0,0.0,1.3303769401330379
111,Yuvraj Singh ,58,31,70,0,499,28,3,17,7,15,0,0,,INDIA,,INDIA,0.23368826113071242,1.4610389610389611,0.0,1.3294674819099335
110,SW Tait ,21,21,79,2,589,28,3,21,7,17,0,0,,AUS,,AUS,0.06449456503829659,1.6558441558441561,0.0377555952084916,1.3252554795256595
134,DG Blampied ,17,17,61,1,395,24,4,16,6,15,1,0,,JER,,JER,0.060163543152513196,1.6697588126159557,0.02406917499680567,1.324517240112883
198,Zeeshan Maqsood ,29,19,62,0,416,18,4,23,6,20,1,0,,OMAN,,OMAN,0.0696320248366502,1.6697588126159557,0.0,1.321951134298617
160,Ahmed Raza ,36,35,120,1,779,20,2,38,6,36,0,0,,UAE,,UAE,0.04682855471470623,1.6697588126159557,0.019401494490136256,1.3088484114217411
113,MR Adair ,17,17,62,2,413,27,4,15,6,13,1,0,,IRE,,IRE,0.06462637874786392,1.628014842300557,0.04637412456067496,1.3088245727536192
130,LE Plunkett ,22,22,79,1,627,25,3,25,7,19,0,0,,ENG,,ENG,0.05522335362322933,1.6523654916512067,0.017360761060844384,1.3031778528920566
164,Mujeeb Ur Rahman ,16,16,60,0,324,20,4,16,5,18,1,0,,AFG,,AFG,0.04700276808790093,1.6697588126159557,0.0,1.2993218775498678
195,LL Tsotsobe ,23,23,78,2,541,18,3,30,6,26,0,0,,SA,,SA,0.03977007922945474,1.628014842300557,0.041663200019144815,1.281612810964445
131,B Regmi ,18,18,62,0,405,25,4,16,6,14,1,0,,NEPAL,,NEPAL,0.06392376459954527,1.623376623376624,0.0,1.2814562321320135
166,CW Perchard ,15,13,46,0,275,20,5,13,5,14,1,1,,JER,,JER,0.05513361890556237,1.6233766233766236,0.0,1.2726660864380301
151,A Dananjaya ,22,22,79,1,620,22,3,28,7,21,0,0,,SL,,SL,0.048194387560551964,1.6071428571428579,0.017626242455939425,1.2623646516456648
116,ST Finn ,21,21,80,0,583,27,3,21,7,17,0,0,,ENG,,ENG,0.06449456503829659,1.5967068645640081,0.0,1.2620247134613027
104,IK Pathan ,24,23,77,1,618,28,3,22,8,16,0,0,,INDIA,,INDIA,0.08032076951816529,1.558441558441559,0.01725501667019567,1.2577794466844323
99,RM Haq ,21,20,75,1,472,28,3,16,6,16,0,0,,SCOT,,SCOT,0.0752044289406415,1.558441558441559,0.023812539254396827,1.255941867399009
125,SE Bond ,20,20,77,2,543,25,3,21,7,18,0,0,,NZ,,NZ,0.061269836786381766,1.5653988868274586,0.04093338752533296,1.2557856956696423
109,Shoaib Malik ,111,46,90,0,644,28,2,23,7,19,0,0,,ICC,PAK,PAK,0.3191467805013134,1.233766233766234,0.0,1.2444714558259888
126,TL Chatara ,21,21,75,1,591,25,3,23,7,18,0,0,,ZIM,,ZIM,0.058026687363875167,1.5653988868274586,0.017841541120248626,1.2409966230445937
162,JEC Franklin ,38,26,54,0,417,20,4,20,7,16,1,0,,NZ,,NZ,0.12619515019701444,1.4842300556586272,0.0,1.2393676919409848
100,KM Jarvis ,22,22,74,0,665,28,3,23,8,16,0,0,,ZIM,,ZIM,0.06963202483665021,1.558441558441559,0.0,1.2384631936678194
106,K Rabada ,21,21,77,0,648,28,3,23,8,16,0,0,,SA,,SA,0.06631621413014305,1.558441558441559,0.0,1.2351473829613122
211,RS Bopara ,38,21,53,1,387,16,4,24,7,20,1,0,,ENG,,ENG,0.10211443313043447,1.4842300556586276,0.021430199686518346,1.2260020747176643
203,Z Khan ,17,17,58,0,448,17,4,26,7,20,1,0,,INDIA,,INDIA,0.04015248383743024,1.576994434137292,0.0,1.2228983094403991
81,Amjad Javed ,22,22,74,1,560,33,3,16,7,13,0,0,,UAE,,UAE,0.09212542545228583,1.4923469387755106,0.01889721247028082,1.2208342357690594
137,Faheem Ashraf ,27,26,74,1,557,24,3,23,7,18,0,0,,PAK,,PAK,0.0754346935730377,1.5027829313543604,0.019030036894655936,1.212036910536136
1271,FF Mulivai ,4,1,0,0,6,0,0,0,36,0,0,0,,Samoa,,,1.197339246119734,0.0,0.0,1.197339246119734
146,CO Obuya ,35,18,52,0,334,23,4,14,6,13,1,0,,KENYA,,KENYA,0.1481693698564911,1.3868274582560298,0.0,1.1882899635485136
