,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
0,Andrew Tye,14,14,56,448,24,18.66,8.0,14.0,3,0
1,Siddarth Kaul,17,17,66,547,21,26.04,8.28,18.85,0,0
2,Rashid Khan,17,17,68,458,21,21.8,6.73,19.42,0,0
3,Umesh Yadav,14,14,53,418,20,20.9,7.86,15.95,0,0
4,Hardik Pandya,13,13,42,381,18,21.16,8.92,14.22,0,0
5,Trent Boult,14,14,52,466,18,25.88,8.84,17.55,0,0
6,Jasprit Bumrah,14,14,54,372,17,21.88,6.88,19.05,0,0
7,Sunil Narine,16,16,61,467,17,27.47,7.65,21.52,0,0
8,Kuldeep Yadav,16,16,51,418,17,24.58,8.14,18.11,1,0
9,Shardul Thakur,13,13,46,431,16,26.93,9.23,17.5,0,0
10,Jofra Archer,10,10,39,325,15,21.66,8.36,15.53,0,0
11,Mayank Markande,14,14,44,368,15,24.53,8.36,17.6,1,0
12,Dwayne Bravo,16,16,53,533,14,38.07,9.96,22.92,0,0
13,Mitchell McClenaghan,11,11,40,332,14,23.71,8.3,17.14,0,0
14,Mujeeb Ur Rahman,11,11,41,289,14,20.64,6.99,17.71,0,0
15,Piyush Chawla,15,15,49,412,14,29.42,8.4,21.0,0,0
16,Shakib Al Hasan,17,17,57,456,14,32.57,8.0,24.42,0,0
17,Andre Russell,16,15,38,355,13,27.3,9.38,17.46,0,0
18,Sandeep Sharma,12,12,44,333,12,27.75,7.56,22.0,0,0
19,Krunal Pandya,14,13,40,284,12,23.66,7.07,20.08,0,0
20,Amit Mishra,10,10,37,264,12,22.0,7.13,18.5,0,0
21,Yuzvendra Chahal,14,14,50,363,12,30.25,7.26,25.0,0,0
22,Ankit Rajpoot,8,8,26,223,11,20.27,8.52,14.27,0,1
23,Mohammed Siraj,11,11,41,367,11,33.36,8.95,22.36,0,0
24,Lungi Ngidi,7,7,26,156,11,14.18,6.0,14.18,1,0
25,Krishnappa Gowtham,15,15,40,312,11,28.36,7.8,21.81,0,0
26,Ravindra Jadeja,16,14,41,303,11,27.54,7.39,22.36,0,0
27,Jaydev Unadkat,15,15,50,486,11,44.18,9.65,27.45,0,0
28,Shreyas Gopal,11,10,31,236,11,21.45,7.61,16.9,1,0
29,Deepak Chahar,12,12,38,278,10,27.8,7.28,22.9,0,0
30,Prasidh Krishna,7,7,28,260,10,26.0,9.28,16.8,1,0
31,Ravichandran Ashwin,14,14,50,410,10,41.0,8.09,30.4,0,0
32,Ben Laughlin,7,7,21,211,9,23.44,10.04,14.0,0,0
33,Bhuvneshwar Kumar,12,12,46,354,9,39.33,7.66,30.77,0,0
34,Chris Woakes,5,5,18,190,8,23.75,10.36,13.75,0,0
35,Ben Stokes,13,12,37,303,8,37.87,8.18,27.75,0,0
36,Harshal Patel,5,5,17,167,7,23.85,9.54,15.0,0,0
37,Mohit Sharma,9,9,29,322,7,46.0,10.85,25.42,0,0
38,Mustafizur Rahman,7,7,27,230,7,32.85,8.36,23.57,0,0
39,Harbhajan Singh,13,12,32,270,7,38.57,8.48,27.28,0,0
40,Imran Tahir,6,6,20,188,6,31.33,9.09,20.66,0,0
41,Tom Curran,5,5,10,118,6,19.66,11.6,10.16,0,0
42,Rahul Tewatia,8,8,22,173,6,28.83,7.86,22.0,0,0
43,Shane Watson,15,11,28,251,6,41.83,8.96,28.0,0,0
44,Tim Southee,8,8,29,261,5,52.2,9.0,34.8,0,0
45,Sandeep Lamichhane,3,3,12,82,5,16.4,6.83,14.4,0,0
46,Basil Thampi,4,4,10,114,5,22.8,11.21,12.2,0,0
47,Shivam Mavi,9,9,28,270,5,54.0,9.64,33.6,0,0
48,Billy Stanlake,4,4,16,130,5,26.0,8.12,19.2,0,0
49,Carlos Brathwaite,4,4,10,94,5,18.8,9.24,12.2,0,0
50,Glenn Maxwell,12,10,16,132,5,26.4,8.25,19.2,0,0
51,Ish Sodhi,6,6,23,135,5,27.0,5.86,27.6,0,0
52,Dhawal Kulkarni,8,8,20,188,4,47.0,9.47,29.75,0,0
53,Washington Sundar,7,7,20,192,4,48.0,9.6,30.0,0,0
54,Avesh Khan,6,6,19,204,4,51.0,10.73,28.5,0,0
55,Nitish Rana,15,5,6,44,4,11.0,7.13,9.25,0,0
56,Barinder Sran,6,6,22,229,4,57.25,10.4,33.0,0,0
57,Dan Christian,4,4,12,101,4,25.25,8.53,17.75,0,0
58,Liam Plunkett,7,7,25,225,4,56.25,9.0,37.5,0,0
59,Karn Sharma,6,5,9,89,4,22.25,9.36,14.25,0,0
60,Shahbaz Nadeem,6,6,15,161,3,53.66,10.73,30.0,0,0
61,Axar Patel,9,8,26,218,3,72.66,8.38,52.0,0,0
62,Mohammad Shami,4,4,14,144,3,48.0,10.4,27.66,0,0
63,Corey Anderson,3,3,8,115,3,38.33,13.26,17.33,0,0
64,KM Asif,2,2,6,75,3,25.0,12.5,12.0,0,0
65,Moeen Ali,5,5,13,97,3,32.33,7.36,26.33,0,0
66,Murugan Ashwin,2,2,7,53,3,17.66,7.57,14.0,0,0
67,Marcus Stoinis,7,6,11,120,3,40.0,10.9,22.0,0,0
68,Chris Morris,4,4,14,143,3,47.66,10.21,28.0,0,0
69,Colin de Grandhomme,9,7,15,129,2,64.5,8.6,45.0,0,0
70,Vinay Kumar,2,2,4,65,2,32.5,16.95,11.5,0,0
71,David Willey,3,3,10,95,2,47.5,9.5,30.0,0,0
72,Mitchell Johnson,6,6,21,216,2,108.0,10.28,63.0,0,0
73,Kulwant Khejroliya,3,3,11,107,2,53.5,9.87,32.5,0,0
74,Javon Searles,4,3,7,89,2,44.5,12.71,21.0,0,0
75,Ben Cutting,9,7,17,168,2,84.0,9.88,51.0,0,0
76,Pawan Negi,2,2,4,49,1,49.0,12.25,24.0,0,0
77,D'Arcy Short,7,2,3,19,1,19.0,6.33,18.0,0,0
78,Anureet Singh,3,3,4,42,1,42.0,10.5,24.0,0,0
79,Vijay Shankar,13,4,5,58,1,58.0,11.6,30.0,0,0
80,Yusuf Pathan,15,1,2,14,1,14.0,7.0,12.0,0,0
81,Mohammad Nabi,2,2,5,47,1,47.0,9.4,30.0,0,0
